day,poms_tot,poms_tot_w,poms_tot_g,poms_tot_h,poms_tot_m,inters_tot,inters_tot_p,inters_tot_m,inters_tot_s,inters_tot_o
20160101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160103,8,0,8,0,0,NA,NA,NA,NA,NA
20160104,3,1,2,0,0,NA,NA,NA,NA,NA
20160105,12,8,2,2,0,5,4,1,0,0
20160106,9,8,0,1,0,6,4,2,0,0
20160107,12,8,3,1,0,2,1,1,0,0
20160108,5,3,1,1,0,3,2,1,0,0
20160109,5,0,1,1,3,NA,NA,NA,NA,NA
20160110,9,0,5,2,2,NA,NA,NA,NA,NA
20160111,11,8,3,0,0,2,1,0,0,1
20160112,12,8,3,1,0,5,5,0,0,0
20160113,9,6,2,1,0,6,3,1,1,1
20160114,11,7,3,1,0,8,4,3,0,1
20160115,12,12,0,0,0,14,10,3,1,0
20160116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160117,3,0,0,0,3,NA,NA,NA,NA,NA
20160118,16,10,5,1,0,7,4,0,3,0
20160119,12,8,3,1,0,2,2,0,0,0
20160120,11,9,2,0,0,7,1,4,2,0
20160121,11,5,5,1,0,5,3,0,2,0
20160122,13,9,3,1,0,10,4,4,2,0
20160123,7,0,1,6,0,NA,NA,NA,NA,NA
20160124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160125,16,6,9,1,0,2,0,1,1,0
20160126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160127,12,3,7,2,0,3,1,1,1,0
20160128,5,2,3,0,0,1,1,0,0,0
20160129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160130,9,0,6,3,0,NA,NA,NA,NA,NA
20160131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160201,8,2,6,0,0,9,6,1,1,1
20160202,8,1,7,0,0,4,2,0,1,1
20160203,8,7,1,0,0,9,6,3,0,0
20160204,9,1,8,0,0,6,3,1,1,1
20160205,13,0,10,2,1,4,3,1,0,0
20160206,12,0,10,2,0,2,0,0,1,1
20160207,4,0,4,0,0,0,0,0,0,0
20160208,10,8,2,0,0,3,1,1,0,1
20160209,13,9,4,0,0,2,2,0,0,0
20160210,12,5,7,0,0,9,4,0,3,2
20160211,12,1,9,2,0,5,1,1,2,1
20160212,3,0,3,0,0,NA,NA,NA,NA,NA
20160213,4,0,2,2,0,NA,NA,NA,NA,NA
20160214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160215,11,4,6,1,0,3,3,0,0,0
20160216,11,3,7,1,0,4,1,0,2,1
20160217,13,6,7,0,0,6,3,1,1,1
20160218,10,5,5,0,0,NA,NA,NA,NA,NA
20160219,16,2,11,3,0,NA,NA,NA,NA,NA
20160220,7,1,5,1,0,1,0,0,1,0
20160221,11,0,9,1,1,0,0,0,0,0
20160222,15,0,14,1,0,1,1,0,0,0
20160223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160224,9,9,0,0,0,4,2,1,0,1
20160225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160229,10,8,1,1,0,6,4,1,0,1
20160301,14,9,1,3,0,4,3,1,0,0
