date,id,type,proj,proj_count,desc
date,-1.0,WGHM,ProjectName,-1.0,Description
20160103,1.0,G,NA,NA,Listening to How to Win Friends and Influence People by Dale Carnegie
20160103,2.0,G,NA,NA,Listening to How to Win Friends and Influence People by Dale Carnegie
20160103,3.0,G,NA,NA,Listening to How to Win Friends and Influence People by Dale Carnegie
20160103,4.0,G,NA,NA,Listening to How to Win Friends and Influence People by Dale Carnegie
20160103,5.0,G,NA,NA,Listening to How to Win Friends and Influence People by Dale Carnegie
20160103,6.0,G,NA,NA,Listening to How to Win Friends and Influence People by Dale Carnegie
20160103,7.0,G,NA,NA,Listening to How to Win Friends and Influence People by Dale Carnegie
20160103,8.0,G,NA,NA,Listening to How to Win Friends and Influence People by Dale Carnegie
20160104,1.0,G,NA,NA,Getting my journal set up for the month; Logging info from trip to Omaha; Getting organized
20160104,2.0,G,NA,NA,Listening to The Tim Ferriss Show podcast
20160104,3.0,W,CAHOFiling2015,NA,Checking Elizabeth's cat numbers
20160105,1.0,W,Mixed,NA,Getting set up for the day
20160105,2.0,W,Mixed,NA,Plan work for the upcoming week; Prepare for monthly analyst meeting
20160105,3.0,G,NA,NA,Listening to The Black Swan
20160105,4.0,H,NA,NA,Walk
20160105,5.0,G,NA,NA,Listening to The Black Swan
20160105,6.0,H,NA,NA,Walk
20160105,7.0,W,Mixed,NA,HO Filing: Update additive trend selection to 3.5%; Right Environment: Workload survey
20160105,8.0,W,Mixed,NA,Prepare for monthly CA analyst meeting; HO Filing: summarizing State Farm hearing
20160105,9.0,W,CAHOFiling2015,NA,Taking notes on State Farm hearing
20160105,10.0,W,CAHOFiling2015,NA,Taking notes on State Farm hearing
20160105,11.0,W,CAHOFiling2015,NA,Taking notes on State Farm hearing
20160105,12.0,W,CAHOFiling2015,NA,Taking notes on State Farm hearing
20160106,1.0,W,Mixed,NA,Getting set up for the day
20160106,2.0,W,Nepoer,NA,Helping Antony
20160106,3.0,W,RightEnvironment,NA,Planning for 2016 and consolidating 1-1 notes
20160106,4.0,H,NA,NA,Walk
20160106,5.0,W,RightEnvironment,NA,Planning for 2016 and consolidating 1-1 notes
20160106,6.0,W,RightEnvironment,NA,Planning for 2016 and consolidating 1-1 notes
20160106,7.0,W,CAHOFiling2015,NA,Create CAT severity trend
20160106,8.0,W,CAHOFiling2015,NA,Create CAT severity trend
20160106,9.0,W,CAHOFiling2015,NA,Create CAT severity trend
20160107,1.0,W,Mixed,NA,Getting set up for the day
20160107,2.0,W,CAAutoSequential2016,68.0,Incorporate teenSMART
20160107,3.0,W,CAHOFiling2015,NA,CAT trend work for Megan
20160107,4.0,W,CAAutoSequential2016,69.0,Incorporate teenSMART
20160107,5.0,W,CAAutoSequential2016,70.0,Incorporate teenSMART
20160107,6.0,W,CAAutoSequential2016,71.0,Incorporate teenSMART
20160107,7.0,W,CAAutoSequential2016,72.0,Run 100k test and update Excel workbook
20160107,8.0,W,CAAutoSequential2016,73.0,Run 100k test and update Excel workbook
20160107,9.0,G,NA,NA,Listening to Serial
20160107,10.0,H,NA,NA,Walk
20160107,11.0,G,ParseJournal,NA,Setting up project and timing #Python
20160107,12.0,G,ParseJournal,NA,Overhead of installing opml package #Python
20160108,1.0,W,NA,NA,@Mixed Getting set up for the day; @CAAutoSequential2016 Split PHF and Investigate Distinguished Driver
20160108,2.0,W,Mixed,NA,Preparing for SA training session
20160108,3.0,G,NA,NA,Taking pictures by the river #photography
20160108,4.0,H,NA,NA,Walk
20160108,5.0,W,CAAutoSequential2016,74.0,Investigate Distinguished Driver; Re-run code after DISTING_NEW fix
20160109,1.0,M,NA,NA,Booking hotel; downloading Rodeo; replying to Carrie about photos
20160109,2.0,M,NA,NA,Replying to Carrie
20160109,3.0,M,NA,NA,Replying to Carrie
20160109,4.0,G,NA,NA,Listening to The Black Swan
20160109,5.0,H,NA,NA,Walk
20160110,1.0,G,NA,NA,Reading The Martian
20160110,2.0,M,NA,NA,Researching cameras for Bailey
20160110,3.0,M,NA,NA,Researching cameras for Bailey
20160110,4.0,H,NA,NA,Occam's Protocol A
20160110,5.0,H,NA,NA,Occam's Protocol A
20160110,6.0,G,NA,NA,Listening to The Black Swan
20160110,7.0,G,NA,NA,Photo of the week post; Redesigning website
20160110,8.0,G,NA,NA,Writing an about me page
20160110,9.0,G,NA,NA,2015 Yearmix
20160111,1.0,W,Mixed,NA,Getting set up for the day; Sending Friday email to Megan; Planning for the week
20160111,2.0,W,Mixed,NA,Advancing Analytics themes email
20160111,3.0,W,CAHOFiling2015,NA,Create additive loss development exhibit
20160111,4.0,W,CAHOFiling2015,NA,Create additive loss development exhibit
20160111,5.0,W,CAHOFiling2015,NA,Create additive loss development exhibit
20160111,6.0,W,CAHOFiling2015,NA,Update CAT trends
20160111,7.0,W,CAHOFiling2015,NA,Update CAT trends
20160111,8.0,W,CAHOFiling2015,NA,Update CAT trends
20160111,9.0,G,NA,NA,Reading History of Western Philosophy
20160111,10.0,G,NA,NA,Trying to get Rodeo to download packages on Mac
20160111,11.0,G,NA,NA,Trying to get Rodeo to download packages on Mac
20160112,1.0,W,NA,NA,@Mixed Getting set up for the day; @CAHOFiling2015 Emailing JFes; @QVC Getting off the team
20160112,2.0,W,Nepoer,NA,Replying to Brett
20160112,3.0,W,RightEnvironment,NA,Prepare for kickoff meeting tomorrow
20160112,4.0,W,RightEnvironment,NA,Prepare for kickoff meeting tomorrow
20160112,5.0,W,RightEnvironment,NA,Prepare for kickoff meeting tomorrow
20160112,6.0,W,CAAutoSequential2016,75.0,Re-run code for 100k and full PHF after DISTING_NEW fix
20160112,7.0,W,CAAutoSequential2016,76.0,Run through SA with 100k analysis to test Excel/SAS interaction and process
20160112,8.0,H,NA,NA,Walk
20160112,9.0,W,CAAutoSequential2016,77.0,Run through SA with 100k analysis to test Excel/SAS interaction and process
20160112,10.0,G,ParseJournal,NA,Get Rodeo set up on MacBook Air
20160112,11.0,G,ParseJournal,NA,Get Rodeo set up on MacBook Air
20160112,12.0,G,NA,NA,Reading A History of Western Philosophy
20160113,1.0,W,Mixed,NA,Getting set up for the day; cleaning up files
20160113,2.0,G,NA,NA,Reading The Four Hour Body
20160113,3.0,W,NA,NA,@Mixed @RightEnvironment Replying to Jen; @CAHOFiling2015 Additive support investigation
20160113,4.0,W,CAHOFiling2015,NA,Updating cat graphs
20160113,5.0,H,NA,NA,Occam's Protocol B
20160113,6.0,G,NA,NA,Listening to The Black Swan
20160113,7.0,W,CAAutoSequential2016,78.0,Starting full PHF SA; Running through 100k test and updating Excel
20160113,8.0,W,CAAutoSequential2016,79.0,Running through 100k test and updating Excel
20160113,9.0,W,CAAutoSequential2016,80.0,Starting full PHF SA; Running through 100k test and updating Excel
20160114,1.0,W,Mixed,NA,Getting set up for the day
20160114,2.0,W,CAHOFiling2015,NA,Draft additive support
20160114,3.0,W,CAHOFiling2015,NA,Draft additive support
20160114,4.0,W,CAAutoSequential2016,81.0,Running through 100k test and updating Excel
20160114,5.0,W,CAAutoSequential2016,82.0,Running through 100k test and updating Excel
20160114,6.0,G,NA,NA,Listening to The Tim Ferriss Show podcast
20160114,7.0,H,NA,NA,Walk
20160114,8.0,W,CAAutoSequential2016,83.0,Running through 100k test and updating Excel
20160114,9.0,W,CAAutoSequential2016,84.0,Running through 100k test and updating Excel
20160114,10.0,G,NA,NA,Editing photos #photography
20160114,11.0,G,NA,NA,Editing photos #photography
20160115,1.0,W,CAHOFiling2015,NA,Draft additive support
20160115,2.0,W,Mixed,NA,Emailing group about R training sessions
20160115,3.0,W,RightEnvironment,NA,Create sample timelines for analyst discussion
20160115,4.0,W,RightEnvironment,NA,Create sample timelines for analyst discussion
20160115,5.0,W,Mixed,NA,Helping Elizabeth with ISP info
20160115,6.0,W,NA,NA,@Mixed Helping Elizabeth with ISP info; @CAAutoSequential2016 Writing script to check rating variable distributions
20160115,7.0,W,CAAutoSequential2016,85.0,Writing script to check rating variable distributions
20160115,8.0,W,CAAutoSequential2016,86.0,Writing script to check rating variable distributions
20160115,9.0,W,CAAutoSequential2016,87.0,Writing script to check rating variable distributions
20160115,10.0,W,CAAutoSequential2016,88.0,Writing script to check rating variable distributions
20160115,11.0,W,CAAutoSequential2016,89.0,Writing script to check rating variable distributions
20160115,12.0,W,CAAutoSequential2016,90.0,Writing script to check rating variable distributions
20160117,1.0,M,NA,NA,Buckets Mix
